Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Place_Name,Is Found?,Trimble MAPS Street Address,Trimble MAPS City,Trimble MAPS State,Trimble MAPS Postal Code,Trimble MAPS Latitude,Trimble MAPS Longitude,Trimble MAPS Confidence Level,Trimble MAPS Geocoding Errors,Distance Between Original and Trimble MAPS,,Location_ID,Place_Name,Is_Found?,
AB417     ,FLYING J 819                  ,345 SAKITAWAW TRAIL           ,FORT MCMURRAY  ,AB,T9H4E ,56.6833,-111.3541, @Flying J Cardlock #819, True,,Fort McMurray,AB,T9H 2R1,56.682777,-111.352762,1 - Exact,,0.7,,AB417     , NOT FOUND, False,
AB418     ,FLYING J 820                  ,9212 108 ST                   ,GRANDE PRAIRIE ,AB,T8V4C ,55.1637,-118.8218, @Flying J Cardlock #820, True,,Grande Prairie,AB,T8V 4C9,55.163613,-118.820732,1 - Exact,,1.1,,AB418     , NOT FOUND, False,
AB419     ,FLYING J 821                  ,1005 43 ST                    ,LETHBRIDGE     ,AB,T1K7B ,49.6833,-112.7781, @Flying J Cardlock #821, True,,Lethbridge,AB,T1K 7B8,49.682655,-112.779276,1 - Exact,Input does not include a street name prefix/suffix but match does,2.1,,AB419     , NOT FOUND, False,
AB420     ,FLYING J 822                  ,5109 63 ST AVE                ,LLOYDMINSTER   ,AB,T9V2E ,53.2859,-110.0363, @Flying J Cardlock #822, True,,Lloydminster,AB,T9V 2E7,53.301608,-110.009705,1 - Exact,,2.7,,AB420     , NOT FOUND, False,
AB422     ,FLYING J 824                  ,HWY #43 & WEST MTN. ROAD      ,WHITECOURT     ,AB,T7N1S ,54.137,-115.6954, @Flying J Fuel Stop #824, True,,Whitecourt,AB,T7S 0B8,54.139483,-115.708382,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches,1.2,,AB422     , NOT FOUND, False,
AB424     ,FLYING J 826                  ,115 LOCKWOOD ST               ,REDCLIFF       ,AB,T1A7T ,50.0792,-110.7729, NOT FOUND, False,,Redcliff,AB,T0J 2P0,50.079459,-110.77284,1 - Exact,Input does not include a street name prefix/suffix but match does,0,,AB424     , NOT FOUND, False,
AB436     ,FLYING J 846                  ,HWY 9 & HWY 36 SOUTH          ,HANNA          ,AB,T0J1P ,51.6182,-111.8116, @Flying J Can Dealer #846, True,,Hanna,AB,,51.61995,-111.847692,3 - Uncertain,Multiple best matches,1.9,,AB436     , NOT FOUND, False,
AB437     ,FLYING J 848                  ,4949 BARLOW TRAIL SE          ,CALGARY        ,AB,T2B3  ,51.0107,-114.0031, @Flying J Can Dealer #848, True,,Calgary,AB,T2B 3B5,51.009413,-114.001996,1 - Exact,,5,,AB437     , NOT FOUND, False,
AB438     ,FLYING J 850                  ,16806 118 AVENUE              ,EDMONTON       ,AB,T5V1M ,53.5712,-113.6123, @Flying J Can Dealer #850, True,,Edmonton,AB,T5V 1M8,53.570562,-113.612629,1 - Exact,Input does not include a street name prefix/suffix but match does,0.1,,AB438     , NOT FOUND, False,
AB451     ,PETRO CANADA                  ,HWY #55 & AIRPORT RD          ,LAC LA BICHE   ,AB,T0A2C ,54.7627,-112.0121, NOT FOUND, False,,Lac La Biche,AB,,54.761955,-112.005426,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,0.3,,AB451     , NOT FOUND, False,
AB452     ,PETRO CANADA                  ,HWY #13 EAST                  ,PROVOST        ,AB,T0B3S ,52.3509,-110.2677, NOT FOUND, False,,Provost,AB,T0B 3S0,52.361159,-110.25726,2 - Good,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,1.2,,AB452     , NOT FOUND, False,
AB453     ,PETRO CANADA                  ,HWY #88                       ,RED EARTH CREEK,AB,T0J1X ,56.5289,-115.3006, NOT FOUND, False,,Red Earth Creek,AB,T0G 1X0,56.531401,-115.30676,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,1.2,,AB453     , NOT FOUND, False,
AB470     ,PETRO CANADA                  ,4703 45TH STREET              ,ROCKY MOUNTAIN ,AB,T0M1T ,52.3707,-114.9088, @Petro-Canada, True,,Rocky Mountain House,AB,T4T 1B1,52.37033,-114.909543,1 - Exact,,0.1,,AB470     , NOT FOUND, False,
AB621     ,PETRO CANADA                  ,6212 56TH AVE                 ,TABER          ,AB,T1G1X ,49.792,-112.1278, @Petro-Canada, True,,Taber,AB,T1G 1X9,49.792195,-112.129224,1 - Exact,,0.1,,AB621     , NOT FOUND, False,
AB851     ,PETRO CANADA                  ,116TH ST AND HWY 43           ,GRAND PRAIRIE  ,AB,T8V5  ,55.1675,-118.8391, NOT FOUND, False,,Grande Prairie,AB,T8V 6H6,55.170642,-118.846174,1 - Exact,Multiple best matches,0.5,,AB851     , NOT FOUND, False,
AB881     ,PETRO CANADA                  ,HIGHWAY 881                   ,HARDISTY       ,AB,T0B1  ,52.6581,-111.3208, NOT FOUND, False,,Hardisty,AB,,52.6646,-111.32406,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,0.7,,AB881     , NOT FOUND, False,
AB978     ,PETRO CANADA                  ,3604 HIGHWAY ST               ,VALLEYVIEW     ,AB,T0H3N ,55.0511,-117.2798, @Petro-Canada, True,,Valleyview,AB,T0H 3N0,55.051134,-117.280159,1 - Exact,,0.1,,AB978     , @Petro-Canada, True,
AB979     ,PETRO CANADA                  ,53RD AVE                      ,HIGH PRAIRIE   ,AB,T0G1E ,55.4324,-116.5077, NOT FOUND, False,,High Prairie,AB,T0G 1E0,55.432902,-116.463886,3 - Uncertain,Input address does not contain a house or building number; Multiple best matches; Location along street is uncertain,1.9,,AB979     , NOT FOUND, False,
