Location ID,Name,Address,City,State,Zip Code,Latitude,Longitude,Pricing Provider,Network ID,Trimble_POI_Name,Contains,Trimble_StreetAddress,Trimble_City,Trimble_MAPS_State,Trimble_Zipcode
AZ545     ,LOVES 659                     ,I-10 EXIT 135                 ,TOLLESON       ,AZ,85353,33.4588,-112.2393,COMDATA   ,Loves                                   , @Love's #659, True,Roosevelt Street,Tolleson,AZ,85353
AZ609     ,FLYING J 609                  ,16189 S SUNSHINE BLVD         ,ELOY           ,AZ,85231,32.7318,-111.5498,COMDATA   ,Pilot                                   , @Flying J #609, True,1005 South Sunshine Boulevard,Eloy,AZ,85131
AZ986     ,PILOT 180                     ,12500 WEST I-40               ,BELLEMONT      ,AZ,86015,35.2385,-111.8226,COMDATA   ,Pilot                                   , @Pilot Travel Center #180, True,Brannigan Park Road,Williams,AZ,86046
CA015     ,TA_BUTTONWILLOW 160           ,27769 LAGOON DR               ,BUTTONWILLOW   ,CA,93302,35.4012,-119.3967,COMDATA   ,TA                                      , @TA-Buttonwillow #160, True,27769 Lagoon Drive,Buttonwillow,CA,93206
CA035     ,TA_CORNING 040                ,I-5 AT SOUTH AVE.             ,CORNING        ,CA,96021,39.9038,-122.1984,COMDATA   ,TA                                      , @TA-Corning #40, True,3449 Old CA-99 West,Corning,CA,96021
CA088     ,TA_REDDING 057                ,19483 KNIGHTON RD             ,REDDING        ,CA,96002,40.5048,-122.3354,COMDATA   ,TA                                      , @TA-Redding #57, True,Knighton Road,Redding,CA,96002
CA093     ,LOVES 538                     ,I - 5 EXIT HWY 12             ,LODI           ,CA,95242,38.1183,-121.3923,COMDATA   ,Loves                                   , @Love's #538, True,15184 North Thornton Road  (Route J8),Lodi,CA,95242
CA097     ,TA_SANTA NELLA 163            ,12310 S HWY 33 & I-5          ,SANTA NELLA    ,CA,95322,37.1061,-121.0142,COMDATA   ,TA                                      , NOT FOUND, False,Westside Freeway  (I-5),Gustine,CA,95322
CA162     ,FLYING J 765                  ,72235 VARNER RD               ,THOUSAND PALMS ,CA,92276,33.8182,-116.4036,COMDATA   ,Pilot                                   , @Flying J #765, True,72227 Varner Road,Thousand Palms,CA,92276
CA172     ,TA_ONTARIO 162                ,4265 EAST GUASTI ROAD         ,ONTARIO        ,CA,91761,34.0649,-117.5593,COMDATA   ,TA                                      , @TA-Ontario #162, True,10402 North Milliken Avenue,Ontario,CA,91761
CA176     ,PILOT 200                     ,US 395 & US 58 SW QUAD        ,BORON          ,CA,93516,34.9916,-117.5431,COMDATA   ,Pilot                                   , @Pilot Travel Center #200, True,5725 Barstow-Bakersfield Highway  (CA-58),Boron,CA,93516
CA177     ,LOVES 207                     ,I-10 & DILLON RD              ,COACHELLA      ,CA,92236,33.7174,-116.1718,COMDATA   ,Loves                                   , @Love's #207, True,Vista del Norte,Coachella,CA,92236
CA223     ,PILOT 154                     ,I-5 SR46                      ,LOST HILLS     ,CA,93249,35.6151,-119.6588,COMDATA   ,Pilot                                   , @Pilot Travel Center #154, True,14823 Warren Street,Lost Hills,CA,93249
CA226     ,TA_BARSTOW 227                ,2930 LENWOOD RD               ,BARSTOW        ,CA,92311,34.8535,-117.0897,COMDATA   ,TA                                      , @TA-Barstow #227, True,2940 Lenwood Road,Barstow,CA,92311
CA246     ,TA_LIVINGSTON 170             ,435 WINTON PKWY I-99 EXIT 203 ,LIVINGSTON     ,CA,95334,37.387,-120.7387,COMDATA   ,TA                                      , @TA-Livingston #170, True,295 B Street,Livingston,CA,95334
